Název hry,Bet,% Win/Bet,Počet spinů
Wild Blast,428615,95.302778,39726
Double Game,4100985,95.300397,95424
Strip Bar 81,632715,95.270382,27424
Lucky Streak 2,2421513.5,95.261352,304255
Bonus Joker II,1716385,95.24087,78339
Seasons,4214530,95.173602,95576
Biggy Winnie feat. The Rich One,397846.5,95.122089,25168
DiamondZ,202002,95.107845,22634
Hyper Wheels,1452147,95.077564,67503
Multi 5,21938060,95.052024,393907
Multiplay 81,45798805,95.033801,1086380
The Dog House,147192,95.01549,16078
81 Diamonds,263186,95.008853,13796
Shaolin Punch,559695,94.950821,14734
Wild Cookies,16838680,94.926372,313326
Joker 40,1241155,94.867394,52149
81 Hot Ways,1080054,94.853128,127542
Fruit Blaster,6469505,94.84095,118642
The Dog House Megaways,284647,94.817195,23966
Frozzy Fruits,1360795,94.770336,63602
Mystery Apollo 81,118960,94.752354,6839
Hell Game,123185,94.743678,5123
Sweet Bonanza Xmas,638904,94.712179,17119
Quick Sticks,221445,94.655558,12479
Aztec Jaguar,7150759,94.513005,191944
Treasure Box,874855,94.505947,9277
Scary Night,104570,94.467821,2158
Fruit Awards,378308,94.415397,19003
Lucky Streak 1,188513.6,94.399492,67601
Super Frog Hop,3479870,94.348783,53096
Easter Fortune,1265312,94.301682,65156
Hell Hot 40,494160.8,94.295683,58640
Lucky 81,495505,94.28361,10286
40 Treasures,229450,94.256875,12610
Vikings 2,158427,94.235831,5014
Money Vaults,374434,94.138112,22853
Space Adventure,472275,94.111482,10560
Great Escape,365935,94.100045,10911
The Secret of Ba,2207696,94.034799,14861
Mystery Respin,233750,93.911444,10444
6Fruits,387700,93.863038,43864
Fruit Jack,18875215,93.850136,429425
Tornado Bill,191920,93.770842,5717
Respin Lady,567336,93.768596,10280
Enchanted Cairo,132042,93.672619,12535
FruitiXL,184484,93.594024,2725
Joker Ra,580434,93.561163,74911
Karlos Game,5519093,93.505128,382126
Western Story,117180,93.317972,1142
Treasure Box 2,2987120,93.203822,56314
Fruity Gold 81,1858622,93.188879,129554
81 Win Spin,163188,93.042381,19765
8 Fruit Multi,201545,92.927237,23849
Jewels Quest 2,1699795,92.919734,77396
Witch Hunt,159060,92.797686,22698
243 Christmas Fruits,1493492,92.790922,39686
Minotaurus,323358.1,92.72432,42996
100 Hot Wild,10777561,92.692969,368127
Bank 81,369824,92.506003,29281
Respin Crown,147197,92.505961,10107
Gates of Olympus,3733826,92.435928,253153
5 Fruits,486315,92.346524,25634
Hot Africa,208581,92.340625,10930
